Transaction_ID,Date,Client,Product,Category,Quantity,UnitPrice
32,2021-06-10 05:58:22,Timothy Gonzalez,Produto B,Refrigerantes,3,73.63
33,2021-05-22 12:09:13,Alyssa Goodman,Produto C,Refrigerantes,1,83.14
34,2023-10-26 08:30:17,Paul Norris,Produto B,Refrigerantes,3,16.56
35,2020-10-30 03:35:56,Mary Todd,Produto B,Lanches,5,31.07
36,2021-01-24 22:06:36,Rebecca Ross,Produto D,Lanches,5,38.46
37,2020-08-22 05:03:57,Brandon Rose,Produto D,Lanches,3,47.5
38,2020-06-26 01:57:54,Anthony Werner,Produto A,Lanches,1,71.77
39,2021-11-04 13:36:05,Anne Aguilar,Produto D,Marmitas,5,17.12
40,2021-10-11 04:27:38,Mary Edwards,Produto E,Lanches,2,53.45
41,2023-05-26 13:13:57,Scott Campbell,Produto C,Marmitas,1,80.49
42,2023-06-21 09:40:13,Kelly Simmons,Produto A,Lanches,2,39.84
43,2023-10-05 20:40:47,Walter Phillips,Produto D,Marmitas,3,76.75
44,2021-07-27 11:49:50,Sherri Smith,Produto D,Pizzas,5,65.73
45,2022-11-26 02:39:49,Thomas Perez,,Pizzas,4,15.04
46,2023-12-23 07:10:15,Lynn Dudley,Produto A,Pizzas,1,51.85
47,2020-08-24 14:35:39,Mitchell Alexander,Produto D,Pizzas,2,60.07
48,2023-10-29 19:30:08,Tanya Lewis,Produto A,Refrigerantes,5,68.72
49,2022-05-03 20:14:01,Kathy Johnson,Produto C,Lanches,4,14.97
50,2022-04-08 21:02:56,Timothy Taylor,Produto B,Pizzas,4,62.9
51,2022-07-18 14:36:29,Paul Norris,,Marmitas,5,13.64
52,2022-09-23 04:55:30,James Gibson,,Marmitas,2,64.07
53,2020-05-29 13:23:33,Karen Reed,Produto F,Marmitas,1,15.9
54,2020-10-29 22:43:52,John Branch,Produto F,Refrigerantes,3,49.51
55,2023-09-30 20:42:56,Robert Davis,Produto E,Lanches,5,92.32
56,2021-12-11 06:23:39,Mark Hughes,Produto D,Lanches,3,49.85
57,2021-09-02 14:39:53,Donna Jennings,Produto C,Marmitas,2,77.39
58,2023-01-17 23:24:41,Joshua Allen,Produto A,Pizzas,5,51.47
59,2023-01-25 11:55:30,Felicia Torres,,Marmitas,1,40.27
60,2020-09-16 02:53:07,Alex Thompson,,Pizzas,2,80.66
61,2021-01-17 07:31:11,Kevin Diaz,Produto E,Refrigerantes,5,11.93
62,2023-08-09 18:15:54,Melanie Harris,Produto C,Lanches,1,27.59
63,2020-04-09 23:10:41,Anne Simpson,Produto E,Refrigerantes,1,57.38
64,2020-11-28 21:36:27,Peter Bauer,,Refrigerantes,5,10.92
65,2021-06-23 11:22:37,Ashley White MD,Produto D,Marmitas,2,21.24
66,2023-04-07 12:20:02,Felicia Duffy,Produto D,Pizzas,1,64.38
67,2022-11-25 11:12:37,Justin Gallegos,Produto C,Pizzas,3,98.45
68,2020-01-13 16:31:00,Summer Terry,Produto B,Lanches,1,63.8
69,2022-09-30 13:36:51,Christopher Cook,Produto A,Refrigerantes,5,99.03
70,2021-02-25 18:06:50,Emily Jones,Produto C,Marmitas,5,22.8
71,2020-06-16 12:47:34,Barbara Bailey,Produto D,Marmitas,2,60.99
72,2023-10-21 05:54:13,Robert Richards,Produto F,Lanches,1,86.64
73,2020-10-19 17:36:42,Peter Pena,,Lanches,4,93.78
74,2020-05-10 09:40:19,Seth Baker,Produto F,Refrigerantes,5,17.78
75,2023-11-28 20:23:52,David Mack,Produto E,Pizzas,1,66.72
76,2023-07-24 12:07:05,Tony Gonzalez,Produto E,Lanches,2,43.64
77,2023-03-09 08:15:00,Jason Walsh,Produto F,Lanches,5,58.55
78,2022-07-16 00:58:18,Ryan Hobbs,Produto F,Pizzas,3,70.99
79,2021-05-19 21:46:17,Joel Bailey,Produto E,Lanches,5,21.93
80,2021-02-20 11:00:04,Lisa Berry,Produto B,Refrigerantes,4,55.79
81,2023-06-13 21:03:17,Keith White,Produto E,Pizzas,1,41.41
82,2021-06-06 09:22:53,David Henry,Produto B,Lanches,3,25.3
83,2023-05-31 01:04:58,Elizabeth Lowery,Produto D,Refrigerantes,4,48.43
84,2021-09-19 03:54:59,James Yoder,Produto A,Marmitas,2,64.77
85,2023-11-06 20:49:28,Kendra Pierce,Produto E,Marmitas,3,87.83
86,2021-11-12 05:12:40,Sandy Rose,Produto D,Marmitas,2,75.91
87,2021-11-10 01:48:04,Robert Richards,Produto F,Lanches,5,90.3
88,2020-04-12 23:10:25,Gregory Cox,Produto D,Refrigerantes,4,22.77
89,2021-04-26 06:28:32,Brittany Lopez,Produto D,Pizzas,5,37.99
90,2023-08-19 17:30:35,Javier White,,Lanches,5,38.56
91,2022-04-06 05:05:46,David Vaughan,Produto D,Refrigerantes,2,35.16
92,2020-07-07 05:10:12,Jennifer Mcdonald,Produto D,Lanches,2,45.9
93,2022-02-14 15:07:38,Ernest Palmer,Produto D,Lanches,2,45.35
94,2021-10-21 04:38:03,Scott Bauer,Produto E,Lanches,3,31.94
95,2023-05-25 19:26:43,Susan Massey,Produto F,Pizzas,5,17.89
96,2023-04-16 04:55:58,Bryan Walker,,Marmitas,3,93.33
97,2023-06-22 17:47:33,Richard Carlson,Produto A,Marmitas,2,17.83
98,2022-10-05 10:07:22,Amber Price,Produto A,Pizzas,5,97.05
99,2022-05-12 11:39:13,Ray Marquez,,Pizzas,4,27.56
100,2020-04-02 17:12:35,Linda Rose,Produto D,Marmitas,2,56.21
101,2021-04-21 19:23:00,Eric Diaz,Produto E,Marmitas,5,54.26
102,2021-09-02 23:13:24,Richard Perry,Produto C,Lanches,4,89.65
103,2021-04-04 01:27:16,Margaret Jones,,Refrigerantes,1,52.93
104,2020-07-29 01:43:04,Melissa Gonzales,Produto C,Refrigerantes,4,25.85
105,2023-02-20 06:17:40,Robert Clark,Produto C,Marmitas,4,67.27
106,2023-10-23 07:10:09,Joshua Pruitt,,Pizzas,2,73.99
107,2021-02-24 18:01:05,Justin Gallegos,Produto B,Pizzas,3,52.65
108,2021-05-06 13:53:42,Cynthia Wolf,Produto B,Lanches,2,17.39
109,2023-06-01 20:37:50,Pamela Rodriguez,Produto C,Refrigerantes,2,88.58
110,2020-04-19 16:11:47,Christine Henderson,Produto F,Lanches,5,93.2
111,2021-12-13 02:26:12,Heather Williams,Produto C,Refrigerantes,4,41.91
112,2020-12-25 11:40:16,Mr. Brian Casey MD,Produto A,Pizzas,4,71.01
113,2024-01-06 01:04:57,David Fields,Produto F,Lanches,3,13.61
114,2023-05-26 01:34:37,Rebecca Lucas,Produto F,Marmitas,2,92.4
115,2020-11-05 01:18:10,Catherine Johnson,,Marmitas,5,16.96
116,2023-12-28 21:26:50,Jessica Rogers,Produto C,Lanches,1,98.43
117,2021-08-26 17:43:11,Karen Briggs,,Marmitas,3,50.88
118,2021-01-24 23:43:59,Bryce Huffman,Produto F,Pizzas,5,39.06
119,2023-12-18 00:19:00,Michael Ward,Produto C,Pizzas,1,15.68
120,2022-10-17 12:01:39,Patrick Bond,,Lanches,5,68.42
121,2023-07-09 19:47:31,Daniel Park,Produto D,Marmitas,3,91.21
122,2020-02-20 09:12:15,Robin Miranda,Produto A,Pizzas,2,67.01
123,2022-06-15 06:56:21,Elijah Porter DDS,Produto A,Lanches,1,31.45
124,2022-12-12 15:28:16,Cassandra Lloyd,Produto E,Pizzas,4,94.16
125,2020-06-10 00:03:53,Veronica Maxwell,Produto E,Refrigerantes,4,52.43
126,2023-01-12 12:30:44,Amanda Martin,Produto C,Lanches,2,24.68
127,2023-11-14 16:18:09,Kristen Townsend,Produto E,Marmitas,4,92.52
128,2023-04-12 18:24:32,Jacob Gilbert,Produto D,Marmitas,4,93.36
129,2022-10-03 05:08:37,Eduardo Pierce,Produto B,Lanches,3,54.63
130,2022-11-07 09:29:37,John Morales,Produto C,Pizzas,5,75.51
131,2021-07-03 15:33:11,Ralph Woods,Produto C,Lanches,2,92.41
132,2022-10-08 01:49:36,Annette Nelson,Produto E,Marmitas,3,10.2
133,2020-01-18 18:02:50,Jennifer Cooper,,Refrigerantes,1,82.84
134,2023-09-08 14:39:04,Jennifer Allen,Produto D,Pizzas,2,82.53
135,2020-05-01 22:22:03,Douglas Smith,Produto D,Pizzas,2,84.78
136,2022-11-07 08:33:36,Kara Carter,Produto C,Pizzas,3,50.27
137,2020-04-17 10:12:18,Jessica Farley,,Pizzas,3,90.28
138,2020-06-07 07:05:53,Benjamin Marshall,,Lanches,4,39.13
139,2021-09-05 16:29:24,Brian Johnson,Produto A,Refrigerantes,2,23.91
140,2021-10-02 11:11:46,Nancy Long,,Marmitas,2,24.44
141,2021-05-19 21:18:44,Jeff Ross,Produto E,Pizzas,3,42.89
142,2022-01-24 05:44:38,Brent Smith,,Lanches,1,63.74
143,2022-05-13 10:35:33,Benjamin Bridges,Produto D,Refrigerantes,5,46.94
144,2020-03-05 23:21:25,Jeremy Owen,Produto A,Pizzas,1,84.19
145,2023-10-08 23:06:06,William Miller,Produto F,Marmitas,5,86.34
146,2020-02-07 01:40:42,Anthony Flores,Produto C,Refrigerantes,4,55.32
147,2022-07-13 03:33:39,Shawn Terrell,Produto F,Refrigerantes,3,35.44
148,2020-03-19 11:04:29,John Hansen,Produto E,Pizzas,1,64.43
149,2023-10-17 15:35:53,Christine Morgan,Produto C,Lanches,2,92.43
150,2020-10-18 22:16:08,Jordan Hogan,Produto B,Marmitas,2,14.66
151,2022-01-14 23:13:52,Barbara Morgan,Produto F,Marmitas,5,37.94
152,2023-06-14 14:51:14,Diane Rodriguez,,Pizzas,5,89.83
153,2022-08-23 05:37:45,Jennifer Hayden,Produto F,Refrigerantes,3,40.06
154,2020-04-14 22:44:00,Jason Johnson,Produto D,Lanches,4,56.29
155,2020-10-22 06:46:21,Kelly Chan,Produto E,Lanches,3,68.6
156,2022-07-14 07:10:39,Jimmy Gutierrez,Produto C,Marmitas,4,71.97
157,2021-12-24 22:37:37,Luis Wilson,Produto A,Lanches,5,90.17
158,2022-03-17 08:31:07,Cynthia Sharp MD,Produto C,Lanches,5,14.4
159,2022-10-22 10:38:25,Mary Edwards,Produto C,Pizzas,3,64.28
160,2023-11-30 20:36:21,April Castillo,Produto E,Marmitas,2,25.58
161,2022-05-02 18:38:29,Donald Robertson,Produto E,Lanches,4,77.1
162,2023-02-20 13:28:57,Robert Shaw,Produto B,Marmitas,4,29.38
163,2022-03-20 14:38:26,Lauren Bennett,,Refrigerantes,2,82.24
164,2021-03-20 18:46:34,Timothy Miller,Produto F,Lanches,3,66.41
165,2022-12-31 14:48:02,Jason Vance,Produto F,Pizzas,3,87.13
166,2022-06-14 15:14:50,April Castillo,Produto E,Pizzas,2,59.61
167,2022-08-22 18:57:24,Wendy Sanchez,Produto F,Lanches,5,92.88
168,2021-06-15 21:02:30,Lisa Fernandez,Produto E,Pizzas,1,59.99
169,2021-04-04 16:04:36,James Bryant,Produto A,Lanches,3,59.11
170,2022-01-03 20:20:01,Andrew Anderson,Produto E,Marmitas,2,16.9
171,2020-03-15 07:04:11,Anna Rich,Produto B,Lanches,2,81.72
172,2020-07-12 10:06:12,Brandi Haynes,,Pizzas,1,95.91
173,2020-01-10 13:58:58,Thomas Perez,,Marmitas,5,62.5
174,2020-04-19 04:09:47,Erika Sullivan,Produto B,Marmitas,3,25.32
175,2022-10-26 22:44:03,Eric Evans,,Marmitas,5,50.7
176,2021-01-16 19:13:53,Rebecca Adams,Produto B,Refrigerantes,5,83.57
177,2020-03-19 17:29:21,Amy Butler,Produto B,Refrigerantes,3,38.87
178,2021-04-29 02:28:12,Seth Baker,Produto F,Lanches,5,14.23
179,2023-11-07 04:25:43,Jeremy Carter,Produto B,Marmitas,5,66.35
180,2020-03-20 23:12:16,Nicole Wilson,Produto E,Marmitas,5,52.75
181,2021-05-24 14:36:40,Thomas Christensen,Produto D,Pizzas,1,82.41
182,2020-09-15 17:51:55,Christopher Thomas,,Pizzas,5,64.5
183,2021-06-21 18:41:50,Benjamin Stone,Produto F,Refrigerantes,4,82.24
184,2023-04-04 19:21:47,Sarah Hansen,,Pizzas,5,31.14
185,2022-05-05 03:25:20,Mark Clarke DDS,Produto A,Refrigerantes,4,78.85
186,2022-01-02 12:57:25,Courtney Berger,Produto A,Refrigerantes,2,79.21
187,2020-05-05 04:50:44,Stephen Smith,,Lanches,2,48.81
188,2021-06-02 00:07:29,Christian Diaz,Produto E,Lanches,1,94.97
189,2021-08-20 00:18:54,Curtis Ramos,Produto E,Refrigerantes,2,92.06
190,2023-07-20 16:05:29,William Miller,Produto E,Pizzas,4,52.65
191,2022-04-12 14:59:10,Michael Miller,Produto E,Refrigerantes,5,17.06
192,2021-11-08 00:02:33,Ebony Smith,,Lanches,2,73.25
193,2023-07-17 23:09:16,Thomas Miranda,Produto A,Refrigerantes,3,64.27
194,2022-10-12 04:44:06,Brian Baldwin,Produto D,Lanches,5,10.01
195,2022-08-03 17:14:44,Sarah Robertson,,Lanches,5,18.21
196,2020-06-02 02:07:23,Robert Foster,Produto A,Pizzas,4,22.75
197,2023-12-13 14:36:15,Robert Norton,Produto F,Marmitas,2,73.0
198,2023-01-14 17:32:03,Dustin Lang,Produto E,Refrigerantes,3,98.73
199,2023-02-05 18:10:13,Jessica Cherry,Produto F,Marmitas,2,69.54
200,2020-10-04 12:21:59,Tammie Davis,,Pizzas,2,74.01
201,2020-01-19 04:35:12,Alison Campbell,Produto B,Pizzas,4,81.06
202,2020-03-02 19:35:59,Brandon Dickson,Produto F,Marmitas,4,46.19
203,2023-09-03 23:36:20,Brandon Fowler,Produto C,Refrigerantes,4,85.28
204,2022-04-14 18:13:18,Penny Armstrong,Produto C,Pizzas,2,39.74
205,2020-11-19 03:31:36,Lauren Bowen,Produto F,Marmitas,2,95.72
206,2020-02-29 17:26:48,Roberto Davis,Produto B,Pizzas,4,87.03
207,2020-11-06 15:56:09,Kelly Wagner,Produto C,Marmitas,2,74.5
208,2020-07-26 09:58:38,Adam Davis,Produto F,Refrigerantes,4,19.15
209,2023-04-19 16:50:00,Caitlin Herman,Produto A,Marmitas,3,53.22
210,2021-09-28 11:44:10,Michele Ramirez,Produto D,Pizzas,3,80.29
211,2023-06-21 08:18:03,Leah May,Produto D,Pizzas,2,44.45
212,2021-10-07 22:57:43,Todd Williams,Produto A,Lanches,1,77.75
213,2023-11-06 10:34:02,Susan Yu,,Lanches,5,28.04
214,2020-05-30 11:39:28,David Wallace,Produto E,Pizzas,4,71.75
215,2023-07-22 09:06:54,Matthew Jordan,Produto F,Pizzas,3,75.3
216,2021-03-04 17:11:58,Paul Carson,Produto E,Marmitas,4,37.77
217,2023-04-10 09:32:29,Alicia Jones,Produto C,Pizzas,3,42.02
218,2020-04-23 19:55:28,Tanya Lewis,Produto A,Pizzas,5,39.93
219,2021-10-24 20:04:51,Stephen Smith,Produto F,Pizzas,3,46.6
220,2022-02-16 22:45:36,Dylan James,Produto F,Marmitas,3,72.08
221,2023-03-19 05:26:35,Kevin Mcintosh,,Marmitas,4,84.34
222,2020-08-07 23:25:04,Rachel Chambers,Produto D,Refrigerantes,3,65.76
223,2023-04-11 23:46:59,Shawn Gibson,Produto D,Pizzas,3,90.5
224,2021-10-09 10:23:55,Jason Nunez,Produto E,Refrigerantes,3,23.71
225,2022-01-03 23:55:00,Christopher Nichols,Produto A,Pizzas,5,28.75
226,2022-12-24 21:36:33,Emily Allen,Produto B,Lanches,4,85.37
227,2022-07-26 04:18:03,Stacey Jacobs,Produto D,Refrigerantes,3,27.74
228,2022-07-05 18:39:11,Cody Simmons,Produto E,Lanches,4,95.01
229,2020-08-28 05:29:16,Brad Robles,Produto E,Refrigerantes,5,55.05
230,2023-11-13 06:46:02,Dustin Lang,Produto B,Marmitas,1,94.52
231,2022-03-26 11:11:50,Timothy Gonzalez,Produto D,Marmitas,3,70.98
232,2021-05-09 06:52:02,Christopher Hutchinson,Produto A,Refrigerantes,1,28.64
233,2020-06-08 16:29:13,Joseph Evans,Produto A,Lanches,1,33.38
234,2020-12-28 05:25:32,Nathan Perez,Produto F,Lanches,3,26.77
235,2023-12-15 22:57:41,Erin Pacheco,Produto E,Pizzas,2,28.61
236,2021-04-16 15:38:28,Daniel Wilson MD,Produto B,Lanches,2,99.47
237,2023-07-11 16:34:46,Deborah Burgess,Produto F,Lanches,1,54.0
238,2020-11-08 23:27:29,Kelly Todd,Produto E,Pizzas,3,26.76
239,2023-04-04 02:32:24,Kimberly Hensley,Produto A,Marmitas,5,27.03
240,2021-09-02 01:58:44,Richard Crosby,Produto A,Refrigerantes,1,40.79
241,2021-02-09 17:04:41,Valerie Smith,Produto F,Marmitas,5,24.53
242,2020-05-18 00:56:57,Katie Johnson,Produto B,Lanches,1,56.43
243,2022-12-25 13:47:08,Sara Acosta,Produto E,Pizzas,3,50.9
244,2024-01-03 14:56:55,Suzanne Ellis,,Pizzas,1,18.85
245,2023-08-15 19:39:35,Linda Willis,Produto B,Refrigerantes,2,34.21
246,2020-06-04 13:16:37,Katie Johnson,Produto D,Pizzas,3,87.61
247,2022-09-20 05:41:46,Megan Smith,Produto C,Lanches,3,37.21
248,2022-09-30 04:44:47,Gregory Hardy,,Marmitas,5,21.66
249,2023-05-30 12:15:32,Luke Ellis,,Pizzas,3,66.35
250,2020-08-16 20:50:36,Christie Carpenter,Produto A,Marmitas,3,82.8
251,2020-02-26 11:02:04,Leslie Foley,Produto E,Pizzas,5,95.92
252,2023-04-19 15:42:47,Tina Fitzgerald,Produto C,Pizzas,5,12.37
253,2020-02-02 09:11:29,Mr. Cody Robinson,Produto F,Marmitas,2,29.27
254,2020-12-11 15:25:37,Thomas Howell,Produto F,Pizzas,4,88.66
255,2022-11-25 09:02:30,Lucas Williams,,Lanches,5,54.41
256,2022-07-08 23:40:22,Alicia Jones,Produto E,Refrigerantes,5,78.51
257,2021-10-02 20:31:02,Bob Frye,Produto D,Marmitas,4,17.99
258,2022-07-07 06:03:35,Christopher Tran,Produto C,Refrigerantes,4,98.26
259,2023-12-16 00:10:21,Dr. Kristopher Shepherd,Produto D,Pizzas,1,11.77
260,2023-01-05 00:35:58,Cynthia Herman,Produto B,Pizzas,1,66.07
261,2022-11-12 16:49:46,Tina Hawkins,,Marmitas,2,17.89
262,2023-05-27 02:15:23,Adrian Robles,Produto C,Lanches,1,23.71
263,2022-02-14 01:26:46,Brittany Simmons,Produto A,Lanches,4,18.59
264,2020-12-02 11:05:46,Michelle Mcgee,Produto B,Pizzas,3,16.04
265,2021-08-17 08:56:55,Louis Mcmillan,Produto C,Marmitas,3,46.46
266,2020-12-17 11:48:24,Candice Diaz,Produto A,Pizzas,5,29.56
267,2020-04-27 22:15:50,Alejandra Poole,Produto B,Lanches,2,80.14
268,2021-04-11 12:56:34,Thomas Stanley,Produto A,Lanches,5,90.3
269,2021-07-12 08:34:35,Karen Briggs,Produto C,Refrigerantes,1,64.46
270,2023-11-22 18:41:39,Maria Lee,Produto C,Marmitas,5,81.79
271,2021-09-17 21:52:00,Ryan Haley,Produto D,Refrigerantes,5,17.27
272,2021-11-02 23:06:10,Daniel Tucker,Produto A,Lanches,5,40.74
273,2022-01-05 07:06:13,Jonathan Zimmerman,Produto D,Pizzas,3,38.92
274,2021-06-20 14:52:38,Matthew Wilkerson,Produto D,Marmitas,4,72.5
275,2021-08-27 09:15:16,Krystal Mcdaniel,Produto E,Refrigerantes,2,38.59
276,2022-04-10 07:21:52,Frank Vega,Produto E,Marmitas,3,84.54
277,2020-12-07 16:08:56,Robert Yu,Produto E,Marmitas,1,38.88
278,2020-06-17 07:27:37,Jeffrey Diaz,Produto D,Refrigerantes,1,17.88
279,2022-04-07 05:35:25,Maria Clarke,,Pizzas,4,71.69
280,2023-09-13 09:12:33,Stephanie Forbes,Produto A,Refrigerantes,1,78.63
281,2023-11-12 06:38:22,Elizabeth Sloan,,Refrigerantes,5,10.19
282,2020-09-29 01:12:38,Patricia Taylor,Produto D,Pizzas,3,37.79
283,2022-07-29 06:52:58,Jennifer Perez,Produto D,Lanches,3,76.33
284,2023-06-13 19:04:14,Katherine Carlson,Produto D,Marmitas,3,33.27
285,2022-04-17 08:33:34,Steven Reed,Produto A,Marmitas,3,97.73
286,2023-04-25 13:39:40,Daniel Carter,Produto F,Lanches,1,81.1
287,2022-02-26 11:18:57,Crystal Mitchell,Produto B,Pizzas,2,44.37
288,2020-07-06 13:38:08,Sean Bailey,Produto D,Pizzas,3,79.41
289,2022-06-19 00:34:51,Willie Fernandez,Produto C,Marmitas,3,58.26
290,2021-02-26 18:14:44,David Chandler,Produto B,Marmitas,3,26.74
291,2020-01-04 06:24:10,Alex Santiago,Produto C,Lanches,2,70.22
292,2023-04-09 15:25:43,Teresa White,Produto C,Pizzas,2,58.66
293,2022-09-22 18:32:50,Brittney Parker,Produto E,Marmitas,4,52.95
294,2022-10-06 10:01:10,Dr. Guy Parrish MD,Produto D,Lanches,5,45.04
295,2020-12-07 10:37:48,Sarah Deleon,,Refrigerantes,1,38.0
296,2022-05-18 18:47:14,Ashley Rivera,Produto F,Lanches,5,52.54
297,2022-11-03 11:33:36,Lance Robinson,Produto F,Refrigerantes,4,33.19
298,2023-12-28 23:04:00,Michelle Calhoun,,Refrigerantes,1,68.87
299,2023-06-08 22:45:29,Teresa White,,Pizzas,3,25.23
300,2022-11-12 09:29:25,Zachary Charles,Produto D,Marmitas,2,53.25
301,2022-01-27 01:05:25,Mark Davis,Produto D,Lanches,4,89.84
302,2020-10-21 06:51:32,Joseph Allen,Produto D,Lanches,5,38.05
303,2020-09-28 07:00:23,Antonio Miller,Produto A,Refrigerantes,2,39.74
304,2021-11-20 08:09:46,Cheryl Tran,Produto D,Marmitas,1,43.32
305,2023-02-26 17:35:04,Mr. Thomas Clark,,Refrigerantes,1,20.42
306,2020-11-27 07:19:59,Lisa Osborn,Produto F,Marmitas,1,63.61
307,2020-11-11 01:44:00,Ashley Davidson,Produto B,Refrigerantes,3,27.96
308,2023-07-29 13:25:29,Olivia Pena,Produto D,Lanches,1,59.02
309,2023-11-07 16:57:42,Lisa Reeves DVM,,Marmitas,1,82.93
310,2022-09-11 15:06:01,Ashley Everett,Produto A,Lanches,3,86.27
311,2021-07-29 09:44:52,Diana Wise,,Marmitas,2,86.25
312,2023-06-24 01:27:49,Samantha Smith,Produto F,Pizzas,2,59.84
313,2021-09-30 13:39:52,Tracy Blackburn,,Refrigerantes,5,82.65
314,2023-11-25 03:06:26,John Doyle,Produto E,Marmitas,2,61.3
315,2023-11-01 08:04:00,Thomas Perez,Produto B,Marmitas,1,78.43
316,2021-07-06 23:13:31,Jose Baker,Produto F,Pizzas,5,94.31
317,2021-04-18 20:16:56,Ashley Reed,Produto C,Lanches,5,39.2
318,2021-06-26 03:24:08,Sandra Johnson,,Marmitas,1,13.83
319,2023-01-23 00:48:18,John Taylor,Produto D,Pizzas,2,91.18
320,2021-04-14 01:53:13,Leslie Delgado,Produto D,Refrigerantes,5,66.82
321,2021-01-03 00:30:02,Kevin Henson,Produto F,Lanches,2,84.42
322,2022-09-24 19:01:02,Rebecca Ross,Produto D,Lanches,3,66.93
323,2022-07-29 21:54:10,Anna Rich,Produto C,Pizzas,3,33.1
324,2023-10-14 12:39:48,Donna Rogers,Produto C,Refrigerantes,1,40.92
325,2021-07-17 04:37:23,Stephanie Pope,Produto C,Lanches,5,92.37
326,2021-02-09 10:04:55,Mark Smith,Produto D,Marmitas,5,86.62
327,2023-02-04 21:35:10,Yolanda Brown,Produto F,Refrigerantes,4,78.6
328,2021-06-10 04:22:57,Michelle Brown,,Refrigerantes,4,51.8
329,2022-12-04 01:33:24,Nancy Padilla,Produto C,Pizzas,3,74.7
330,2023-08-14 16:18:54,Jessica Berry,Produto C,Refrigerantes,4,58.13
331,2020-11-22 02:41:37,Stephen Monroe,Produto A,Lanches,3,37.6
332,2020-04-04 04:02:57,Jordan Barnes,,Marmitas,3,67.09
333,2023-04-26 10:21:46,Shelby Gonzales,Produto A,Refrigerantes,2,72.79
334,2023-07-27 04:47:01,Max Campbell,Produto F,Marmitas,3,73.48
335,2023-08-06 14:00:51,Jonathan Nunez,Produto E,Pizzas,4,86.38
336,2020-05-02 20:59:03,Lauren Coleman,Produto D,Pizzas,1,48.61
337,2022-10-28 12:36:23,Steve Johnson,Produto F,Pizzas,5,26.02
338,2022-06-15 22:11:18,Benjamin Mcdowell,Produto C,Refrigerantes,2,12.58
339,2022-10-15 03:54:36,Jason Dixon,Produto B,Marmitas,3,66.97
340,2021-03-03 19:27:41,Jonathan Lindsey,,Refrigerantes,2,74.23
341,2022-03-31 12:40:56,Louis Mcmillan,Produto C,Pizzas,5,65.45
342,2020-06-11 01:20:52,Michelle Carter,Produto B,Refrigerantes,4,96.88
343,2022-09-28 07:28:51,Lori Roberts,Produto D,Refrigerantes,1,29.46
344,2020-02-03 18:55:48,Pamela Mathis,Produto F,Pizzas,3,28.32
345,2022-10-29 15:40:28,Dr. Veronica Brown,Produto C,Pizzas,1,42.9
346,2021-04-29 22:53:29,Deborah Jones,,Lanches,2,42.43
347,2020-03-10 04:08:10,Lawrence Wong,Produto E,Marmitas,1,50.94
348,2022-04-25 04:17:46,Carrie Myers,Produto C,Pizzas,2,24.88
